protocol,size,timedelta,flags
17,75,0.0002639293670654297,0
17,71,0.006099700927734375,0
17,211,0.009125471115112305,0
17,1189,0.00029206275939941406,0
17,80,0.0002281665802001953,0
17,80,0.00019240379333496094,0
17,80,0.00020456314086914062,0
17,91,0.006175041198730469,0
17,75,0.009799957275390625,0
17,75,0.005700111389160156,0
17,68,0.0024878978729248047,0
17,67,0.0048792362213134766,0
6,60,0.026142358779907227,16
6,60,0.022578716278076172,16
17,1285,0.005292415618896484,0
17,1292,0.00019669532775878906,0
17,1292,0.0001556873321533203,0
17,186,0.0002384185791015625,0
6,716,0.010498523712158203,24
17,75,0.007469892501831055,0
17,75,0.013355731964111328,0
6,85,0.004099845886230469,24
6,54,0.0003790855407714844,17
6,60,0.11878275871276855,16
6,60,0.00020694732666015625,17
6,54,0.0001697540283203125,16
17,1292,0.025983810424804688,0
17,366,0.0003256797790527344,0
17,598,0.0001800060272216797,0
17,85,0.000164031982421875,0
17,82,0.005533933639526367,0
6,66,0.006815671920776367,2
6,66,0.00020933151245117188,2
6,66,0.0005252361297607422,18
6,66,0.00012040138244628906,18
6,54,9.799003601074219e-05,16
6,54,0.00010704994201660156,16
6,56,0.00026702880859375,24
6,87,0.00044655799865722656,24
6,56,0.00021457672119140625,24
6,87,0.00020432472229003906,24
6,60,0.0001404285430908203,16
6,60,0.0001595020294189453,16
6,60,0.00015163421630859375,16
6,60,0.0001239776611328125,16
6,105,0.003881216049194336,24
6,54,0.00016045570373535156,17
6,149,0.0004298686981201172,24
6,54,0.00031185150146484375,17
17,1292,0.0003509521484375,0
17,1292,0.00030303001403808594,0
6,60,0.0006113052368164062,17
6,54,0.0001475811004638672,16
6,60,0.00013327598571777344,17
6,54,0.00011515617370605469,16
17,122,0.0002205371856689453,0
17,1036,0.00029206275939941406,0
17,189,0.0001556873321533203,0
17,188,0.0002818107604980469,0
17,1287,0.0007026195526123047,0
17,1292,0.00017714500427246094,0
17,1292,0.000202178955078125,0
17,1292,0.0001518726348876953,0
17,1292,0.00018739700317382812,0
17,1292,0.00016188621520996094,0
17,1292,0.00018978118896484375,0
17,1292,0.0002608299255371094,0
17,906,0.0002434253692626953,0
17,321,0.00023698806762695312,0
17,81,0.00020241737365722656,0
17,82,0.014068603515625,0
17,1292,0.0006849765777587891,0
17,68,0.001425027847290039,0
17,290,0.006363391876220703,0
17,226,0.00024628639221191406,0
17,227,0.00023102760314941406,0
6,66,0.000499725341796875,2
6,66,0.00020432472229003906,2
6,66,0.00017976760864257812,18
6,54,0.0003173351287841797,16
17,241,0.00045800209045410156,0
6,66,0.00026345252990722656,18
6,54,0.00020432472229003906,16
17,241,0.00027823448181152344,0
6,56,0.0002300739288330078,24
6,85,0.00020956993103027344,24
6,56,0.0003147125244140625,24
6,85,0.00030493736267089844,24
17,241,0.0002963542938232422,0
6,60,0.0002913475036621094,16
17,239,0.0002987384796142578,0
6,60,0.0003552436828613281,16
17,241,0.0002391338348388672,0
6,60,0.0001685619354248047,16
6,60,0.0001671314239501953,16
